"filename", "language", "TypeScript", "JSON with Comments", "Vue", "SCSS", "JSON", "YAML", "JavaScript", "wxs", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"d:\工作区\uniapp\heima-shop\src\manifest.json", "JSON", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 8, 1, 73
"d:\工作区\uniapp\heima-shop\src\pages.json", "JSON", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 13, 0, 104
"d:\工作区\uniapp\heima-shop\src\pages\cart\index.vue", "Vue", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 60
"d:\工作区\uniapp\heima-shop\src\pages\cate\index.vue", "Vue", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 20, 16, 159
"d:\工作区\uniapp\heima-shop\src\pages\home\index.vue", "Vue", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 127
"d:\工作区\uniapp\heima-shop\src\pages\my\index.vue", "Vue", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\工作区\uniapp\heima-shop\src\store\store.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 30
"d:\工作区\uniapp\heima-shop\src\subpkg\goods_detail\index.vue", "Vue", 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 18, 13, 198
"d:\工作区\uniapp\heima-shop\src\subpkg\goods_list\index.vue", "Vue", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 114
"d:\工作区\uniapp\heima-shop\src\subpkg\search\index.vue", "Vue", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 27, 12, 204
"d:\工作区\uniapp\heima-shop\src\uni.scss", "SCSS", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 25, 14, 76
"d:\工作区\uniapp\heima-shop\src\utils\hooks.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 53
"d:\工作区\uniapp\heima-shop\src\utils\request.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 89
"d:\工作区\uniapp\heima-shop\tsconfig.json", "JSON with Comments", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 23
"d:\工作区\uniapp\heima-shop\vite.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 13
"Total", "-", 358, 18, 17964, 572, 564, 2387, 4768, 378, 11, 498, 18, 4065, 2549, 34150
